,business_status,geometry,name,rating,types,user_ratings_total,vicinity,price_level
45,OPERATIONAL,"{'location': {'lat': 12.9732873, 'lng': 77.60755859999999}, 'viewport': {'northeast': {'lat': 12.9746592302915, 'lng': 77.6088292302915}, 'southwest': {'lat': 12.9719612697085, 'lng': 77.6061312697085}}}",McDonald's,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",6197.0,"opposite Space Centre, Ground Floor & 1st Floor, opposite Space Centre, Brigade Road, Shanthala Nagar, Ashok Nagar, Bengaluru",2.0
46,OPERATIONAL,"{'location': {'lat': 12.9714486, 'lng': 77.59618069999999}, 'viewport': {'northeast': {'lat': 12.9728769302915, 'lng': 77.5973262302915}, 'southwest': {'lat': 12.9701789697085, 'lng': 77.5946282697085}}}",Shiro,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2216.0,"222, 3rd Floor, ""Comet UB City, Vittal Mallya Road, Bengaluru",4.0
47,OPERATIONAL,"{'location': {'lat': 12.9707303, 'lng': 77.59755729999999}, 'viewport': {'northeast': {'lat': 12.9720714302915, 'lng': 77.59895143029149}, 'southwest': {'lat': 12.9693734697085, 'lng': 77.59625346970849}}}",Tattv Gourmet Kebabs,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Shop Number- 25/4, 1st Floor, ML Subbaraju Road, Kasthuraba Road, D' Souza Layout, Ashok Nagar, Bengaluru",
48,OPERATIONAL,"{'location': {'lat': 12.9758445, 'lng': 77.6013887}, 'viewport': {'northeast': {'lat': 12.9772598302915, 'lng': 77.6027438802915}, 'southwest': {'lat': 12.9745618697085, 'lng': 77.60004591970849}}}",Koshy's Parade Café,4.1,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",6466.0,"39, Saint Marks Road, Shanthala Nagar, Ashok Nagar, Bengaluru",2.0
49,OPERATIONAL,"{'location': {'lat': 12.9715987, 'lng': 77.5945627}, 'viewport': {'northeast': {'lat': 12.9729454802915, 'lng': 77.59592123029151}, 'southwest': {'lat': 12.9702475197085, 'lng': 77.5932232697085}}}",होटल श्री कृष्णा उपहार,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",15.0,India,
50,OPERATIONAL,"{'location': {'lat': 12.9751637, 'lng': 77.6033358}, 'viewport': {'northeast': {'lat': 12.9766102802915, 'lng': 77.6047141302915}, 'southwest': {'lat': 12.9739123197085, 'lng': 77.60201616970848}}}",Oh! Calcutta,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",2297.0,"2nd floor, Above Mainland China, 33, Church Street, Shanthi Nagar, Ashok Nagar, Bengaluru",3.0
51,OPERATIONAL,"{'location': {'lat': 12.9820816, 'lng': 77.6031783}, 'viewport': {'northeast': {'lat': 12.9834295802915, 'lng': 77.6046468802915}, 'southwest': {'lat': 12.9807316197085, 'lng': 77.60194891970849}}}",Imperial Restaurant,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",8055.0,"opposite Busstand, Near Bowring Hospital Central Street, 42/5, Bowring Hospital Road, Sheshadripuram, Shivaji Nagar, Bengaluru",2.0
52,OPERATIONAL,"{'location': {'lat': 12.98705, 'lng': 77.5947166}, 'viewport': {'northeast': {'lat': 12.9884500302915, 'lng': 77.5961375802915}, 'southwest': {'lat': 12.9857520697085, 'lng': 77.59343961970849}}}",infinitea Cunningham road,4.4,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",1652.0,"2, 17/1, Cunningham Road Shah Sultan Complex, Ali Askar, Cross, Road, Bengaluru",2.0
53,OPERATIONAL,"{'location': {'lat': 12.9645418, 'lng': 77.6064884}, 'viewport': {'northeast': {'lat': 12.9658316302915, 'lng': 77.6079112302915}, 'southwest': {'lat': 12.9631336697085, 'lng': 77.6052132697085}}}",Hotel Fanoos,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",5026.0,"17, Hosur Road, Richmond Town, Bengaluru",2.0
54,OPERATIONAL,"{'location': {'lat': 12.9710906, 'lng': 77.6057446}, 'viewport': {'northeast': {'lat': 12.9725263302915, 'lng': 77.6070493302915}, 'southwest': {'lat': 12.9698283697085, 'lng': 77.60435136970848}}}",Hotel Imperial,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",6768.0,"94, Residency Road, Ashok Nagar, Bengaluru",2.0
55,OPERATIONAL,"{'location': {'lat': 12.9755069, 'lng': 77.6031555}, 'viewport': {'northeast': {'lat': 12.9768178802915, 'lng': 77.60449278029151}, 'southwest': {'lat': 12.9741199197085, 'lng': 77.6017948197085}}}",Kaati Zone,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",70.0,"No 48, Triumph Tower, Opp High Gates Hotel, Church Street, Bengaluru",
56,OPERATIONAL,"{'location': {'lat': 12.9890957, 'lng': 77.5937754}, 'viewport': {'northeast': {'lat': 12.9903873302915, 'lng': 77.59519258029151}, 'southwest': {'lat': 12.9876893697085, 'lng': 77.59249461970849}}}",Chung's Chinese Corner,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",745.0,"106/13, Ground Floor, Westminster Building, Cunningham Road, Bangalore, Cunningham Road, Central Bangalore, Bengaluru",2.0
57,OPERATIONAL,"{'location': {'lat': 12.9676354, 'lng': 77.5997115}, 'viewport': {'northeast': {'lat': 12.9689492802915, 'lng': 77.60108988029151}, 'southwest': {'lat': 12.9662513197085, 'lng': 77.5983919197085}}}",Sarathi's Spicy Tadka Multi Cuisine Family Restaurant & Bar,3.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7.0,"Residency Road, Richmond Town, Bengaluru",
58,OPERATIONAL,"{'location': {'lat': 12.9714255, 'lng': 77.5979806}, 'viewport': {'northeast': {'lat': 12.9727668802915, 'lng': 77.59933873029149}, 'southwest': {'lat': 12.9700689197085, 'lng': 77.59664076970849}}}",CLUB 9,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,"No. 40/2, Levelle Road, Bengaluru",
59,OPERATIONAL,"{'location': {'lat': 12.972071, 'lng': 77.596695}, 'viewport': {'northeast': {'lat': 12.9731588302915, 'lng': 77.59758338029151}, 'southwest': {'lat': 12.9704608697085, 'lng': 77.5948854197085}}}",Soul City ಸೋಲ್ ಸಿಟಿ,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",219.0,"Oakwood Premiere Prestige, Vittal Mallya Road, Kg.halli, Ashok Nagar, Bengaluru",
